"productName","starTechPrice","ryansPrice","priceDifference"
"Dell XPS 15 9520 Core i9 12th Gen RTX 3050 Ti 4GB Graphics 156 OLED 35K Touch Laptop","TBA"
"Dell XPS 15 9520 Core i9 12th Gen RTX 3050 Ti 4GB Graphics 32GB RAM 156 OLED 35K Touch Laptop","TBA"
"Dell XPS 17 9720 Core i7 12th Gen RTX 3060 6GB Graphics 17 UHD Touch Laptop","TBA"
"Lenovo IdeaPad Slim 3i 14IRU8 Core i3 13th Gen 14 FHD Laptop","70500"
"Lenovo K14 Core i3 11th Gen 14 FHD Business Series Laptop","66500"
"Acer Aspire 3 A315-59-5031 Core i5 12th Gen 156 FHD Laptop","74000"
"Acer Aspire 3 A315-59-50J9 Core i5 12th Gen 156 FHD Laptop","74000"
"Acer Aspire 3 A315-59-57VA Core i5 12th Gen 156 FHD Laptop","74000"
"ASUS VivoBook 14 X1402ZA Core i3 12th Gen 8GB RAM 14 FHD Laptop","71500"
"ASUS Vivobook 15 M1502IA-EJ388W Ryzen 5 4600H 156 FHD Laptop","71000"
"ASUS VivoBook X1402ZA-EB636W Core i3 12th Gen 14 FHD Laptop","71500"
"Avita Liber V14 Core i5 11th Gen 14 FHD Laptop Flowers on Yellow","71990"
"Avita Liber V14 Core i5 11th Gen 14 FHD Laptop Golden Matt Black","70950"
"Avita Liber V14 Core i5 11th Gen 14 FHD Laptop Iris on Ruby","71990"
"Avita Liber V14 Core i5 11th Gen 14 FHD Laptop Paisley on Lilac","71990"
"Avita Liber V14 Core i5 11th Gen 14 FHD Laptop Snowflakes on Azure Blue","71990"
"Avita Liber V14 Core i5 11th Gen 14 FHD Laptop Snowflakes on Mountain Blue","71990"
"HP 15s-eq3619AU Ryzen 5 5625U 156 FHD Laptop","73200"
"HP 15s-fq4786TU Core i5 11th Gen 156 FHD Laptop","71300"
"Lenovo IdeaPad Slim 3i 11th Gen Core i5 156 FHD IPS Display Laptop","74500"
"Lenovo IdeaPad Slim 3i 15ITL6 Core i5 11th Gen 156 FHD Laptop","73500"
"Lenovo IdeaPad Slim 3i Core i5 11th Gen 156 FHD Laptop","74000"
"Realme Book Core i5 11th Gen 14 2k UHD Laptop","73300"
"Realme Book Prime Core i5 11th Gen 14 2K UHD Laptop","74000"
"Walton Tamarind MX511G Core i5 11th Gen 14 FHD Laptop","74500"
"Acer Aspire 3 A315-59 Core i5 12th Gen 156 FHD Laptop","76500"
"Acer Extensa 14 EX214-53-543W Core i5 12th Gen 14 FHD Laptop","78500"
"Acer TravelMate TMP214-53 Core i7 11th Gen 14 FHD Laptop","79500 82000"
"ASUS Vivobook 15 M1502IA-EJ390W Ryzen 7 4800H 156 FHD Laptop","81500"
"ASUS VivoBook 15 X1502ZA-EJ1249W Core i5 12th Gen 156 FHD Laptop","83000"
"Asus VivoBook 15 X1505ZA OLED Core i3 12th Gen 156 FHD Laptop","75000"
"Asus VivoBook Go 15 E1504FA Ryzen 5 7520U 156 FHD Laptop","78000"
"DOEL T10 Core i7 10th Gen 14 FHD Laptop","77500"
"HP 14s-dq5110TU Core i5 12th Gen 14 FHD Laptop","78000"
"HP 15s-fq5192TU Core i5 12th Gen 156 HD Laptop","78500"
"Huawei MateBook B3-420 Core i5 11th Gen 14 FHD Laptop","76000 78999"
"HUAWEI MateBook B3-520 Core i5 11th Gen 156 FHD Laptop","76000"
"Huawei MateBook D15 Core i5 11th Gen 156 FHD Laptop","76000 78999"
"Lenovo IdeaPad 3 Ryzen 7 5700U 156 FHD Laptop with Windows 11","79900"
"Lenovo IdeaPad Slim 3i 11th Gen Core i5 156 FHD Laptop with 3 Years Warranty","74500"
"Lenovo IdeaPad Slim 3i 15ITL Core i5 11th Gen MX350 2GB Graphics 156 FHD Laptop with 03 Years Warranty","78500"
"Lenovo IdeaPad Slim 3i Core i5 11th Gen MX350 2GB Graphics 156 FHD Laptop","79500"
"Lenovo IdeaPad Slim 3i Core i5 12th Gen 14 FHD Laptop","75500"
"Lenovo IP Slim 3 15ABR8 Ryzen 5 156 FHD Laptop","77000"
"Walton Passion BX710U Core i7 10th Gen 156 FHD Laptop","74550"
"Acer Aspire 7 A715-42G-R2NE Ryzen 5 5500U GTX 1650 4GB Graphics 156 FHD Gaming Laptop","86000"
"Acer TravelMate TMP214-53 Core i7 11th Gen 512GB SSD 14 FHD Laptop","84900"
"Asus ExpertBook B1 B1500CEAE Core i5 11th Gen 1TB HDD 156 FHD Laptop","80500 86500"
"ASUS ExpertBook P1 P1512CEA Core i7 11th Gen 156 FHD Laptop","96000"
"ASUS Vivobook 15 OLED M1505YA AMD Ryzen 5 156 FHD Laptop","89000"
"Asus VivoBook Flip 14 TM420UA Ryzen 5 14 FHD Touch Laptop","89900"
"HP ProBook 440 G9 Core i5 12th Gen 14 FHD Laptop","89000"
"HP ProBook 440 G9 Core i5 12th Gen 14 FHD Laptop With Windows 11","91000"
"Lenovo IdeaPad Slim 3i Core i5 12th Gen 156 FHD Laptop","84500"
"Lenovo IdeaPad Slim 3i Core i5 12th Gen 156 FHD Laptop Abyss Blue","86000"
"Lenovo IdeaPad Slim 3i Core i5 12th Gen 156 FHD Laptop with Windows 11","83000"
"Lenovo IdeaPad Slim 3i Core i7 11th Gen 14 FHD Laptop","95500"
"Lenovo IdeaPad Slim 3i Core i7 11th Gen 156 FHD Laptop","88000"
"Lenovo IP Slim 3 15ABR8 Ryzen 7 156 FHD Laptop (Ram Not Upgradable)","88000"
"MSI Modern 14 C11M Core i3 11th Gen 14 FHD Laptop","55000"
"MSI Modern 14 C12M Core i5 12th Gen 14 FHD Laptop Urban Silver","77900"
"MSI Modern 14 C12MO Core i3 12th Gen 14 FHD Laptop","59500"
"MSI Modern 15 A5M Ryzen 7 5700U 156 FHD Laptop","81000"
"Samsung Galaxy Book Core i5 11th Gen 156 FHD Laptop","86000"
"Walton Tamarind MX711G Core i7 11th Gen 14 FHD Laptop","84500"
"Asus ROG Strix G15 G513IE AMD Ryzen 7 4800H RTX 3050Ti 4GB Graphics 156 FHD Gaming Laptop","144000"
"Asus TUF Dash F15 FX517ZC Core i5 12th Gen RTX 3050 4GB Graphics 156 FHD Gaming Laptop","139000"
"ASUS TUF Gaming A15 FA507RC Ryzen 7 6800H RTX 3050 4GB Graphics 156 FHD Gaming Laptop","144000"
"Asus TUF Gaming A17 FA706ICB Ryzen 5 4600H RTX 3050 4GB Graphics 173 FHD Gaming Laptop","121000"
"Asus TUF Gaming A17 FA706ICB Ryzen 7 4800H RTX 3050 4GB Graphics 173 FHD Gaming Laptop","133500"
"ASUS Vivobook S 16X OLED M5602RA Ryzen 7 6800H 16 OLED Laptop","149000"
"Lenovo IdeaPad Gaming 3i Core i5 12th Gen RTX 3050 4GB Graphics 16 2K WUXGA Laptop","144000"
"MSI Cyborg 15 A12UCX Core i5 12th Gen RTX 2050 4GB Graphics 156 FHD Gaming Laptop","103000"
"MSI GF63 THIN 11SC Core i5 11th Gen GTX 1650 4GB Graphics 156 FHD 144hz Gaming Laptop with 2 Years Warranty","90000"
"MSI GF63 THIN 11UC Core i5 11th Gen 512GB SSD RTX 3050 Max-Q 4GB Graphics 156 FHD Gaming Laptop","108500"
"MSI GF63 THIN 11UCX Core i5 11th Gen RTX 2050 4GB Graphics 156 FHD 144Hz Gaming Laptop","93900"
"MSI GF63 THIN 12UCX Core i5 12th Gen RTX 2050 4GB Graphics 156 FHD 144hz Gaming Laptop","99000"
"MSI Modern 14 C12MO Core i7 12th Gen 14 FHD Laptop","98000"
"MSI Modern 14 C13M Core i5 13th Gen 14 FHD Laptop","89500"
"MSI Modern 14 C13M Core i7 13th Gen 14 FHD Laptop","104500"
"MSI Modern 15 B12M Core i7 12th Gen 16GB RAM 156 FHD Laptop","91500"
